Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C4, C6",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,1000uf,
"C2, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,10n,
C3,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,68uf,
"D1, D2, D3, D4, D5, D6, D7",LED_D5.0mm,7,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
Q2,TO-92L_Inline_Wide,1,Q_NPN_BCE,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
"R10, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,1k,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,300,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,43k,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,50,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.5k,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,5k,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,8,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,16,
"R18, R19",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,100,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,3000,
"SW10, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,7,SW_DIP_x01,
SW2,SW_PUSH_6mm,1,SW_Push,
SW3,SW_NKK_NR01,1,SW_SP4T_NR01104,
U1,DIP-16_W7.62mm,1,4060,
"U2, U3",DIP-8_W7.62mm,2,NE555P,
