Designator,Mid X,Mid Y,Rotation,Layer
1,119.02,-109.0,0.0,top
16,140.705,-96.75,180.0,top
2,118.995,-99.0,0.0,top
32,140.755,-106.5,180.0,top
4,118.995,-88.75,0.0,top
64,141.005,-87.0,180.0,top
8,118.98,-78.0,0.0,top
BZ1,149.75,-51.75,270.0,top
C1,89.75,-56.5,90.0,top
C2,94.0,-47.5,90.0,top
C3,125.25,-116.25,90.0,top
C4,120.25,-116.25,90.0,top
C5,136.5,-38.5,180.0,top
C6,144.5,-40.5,90.0,top
DISMISS,149.75,-116.075,180.0,top
J1,144.245,-75.0,90.0,top
Q2,130.54,-77.075,0.0,top
R1,139.0,-117.25,90.0,top
R10,150.0,-87.0,0.0,top
R11,110.0,-65.75,0.0,top
R12,110.0,-69.75,180.0,top
R13,129.5,-117.25,90.0,top
R14,116.5,-57.08,180.0,top
R15,115.75,-40.0,180.0,top
R16,123.0,-36.08,90.0,top
R17,127.5,-36.08,90.0,top
R18,130.25,-57.5,180.0,top
R19,107.0,-56.5,270.0,top
R2,133.5,-117.25,270.0,top
R3,109.775,-109.25,180.0,top
R4,130.5,-85.075,90.0,top
R5,110.0,-99.0,180.0,top
R6,110.5,-88.75,180.0,top
R7,109.985,-78.25,180.0,top
R8,149.75,-96.75,0.0,top
R9,149.75,-106.5,0.0,top
SW10,160.75,-109.0,0.0,top
SW3,123.0,-48.25,90.0,top
SW4,98.525,-106.75,180.0,top
SW5,98.5,-96.25,180.0,top
SW6,98.5,-86.25,180.0,top
SW7,98.735,-75.425,180.0,top
SW8,160.75,-89.5,0.0,top
SW9,160.75,-99.25,0.0,top
U1,130.5,-106.325,270.0,top
U2,98.005,-59.25,0.0,top
U3,136.245,-48.0,180.0,top
